Name,Price,Year,Mileage,Transmission,Fuel Type,Seats,Owners,Doors,Engine
Toyota Highlander,"£37,990",2022,"15,424 miles",Automatic,Hybrid,7 seats,1 owner(s),5 doors,2.5
Nissan Qashqai,"£11,717",2019,"45,549 miles",Manual,Diesel,5 seats,2 owner(s),5 doors,1.5
Honda CR-V,"£24,719",2020,"13,224 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Peugeot 2008,"£17,595",2021,"31,107 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Hyundai i10,"£13,999",2023,"5,697 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.2
Toyota Prius,"£18,549",2021,"42,724 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.8
Lexus CT,"£16,500",2020,"20,563 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,1.8
Hyundai Tucson,"£12,995",2020,"45,285 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.6
Citroen Grand C4 Picasso,"£11,700",2016,"45,093 miles",Semi-automatic,Diesel,7 seats,2 owner(s),5 doors,1.6
Renault Zoe,"£12,800",2022,"9,060 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Honda CR-V,"£28,495",2022,"23,937 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,2
Ford Kuga,"£14,621",2019,"36,127 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.5
BMW 3 Series,"£23,995",2019,"26,787 miles",Semi-automatic,Diesel,5 seats,1 owner(s),4 doors,2
Toyota Aygo,"£8,400",2018,"24,000 miles",Manual,Petrol,4 seats,1 owner(s),5 doors,1
Honda Jazz,"£22,562",2022,"8,213 miles",Automatic,Hybrid,5 seats,1 owner(s),5 doors,1.5
Hyundai Tucson,"£12,995",2020,"45,285 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1.6
Lexus CT,"£16,500",2020,"20,563 miles",Automatic,Hybrid,5 seats,2 owner(s),5 doors,1.8
BMW 2 Series,"£21,500",2019,"24,870 miles",Semi-automatic,Petrol,4 seats,2 owner(s),2 doors,3
Nissan Juke,"£12,995",2020,"20,933 miles",Manual,Petrol,5 seats,1 owner(s),5 doors,1
Honda Civic,"£13,999",2018,"28,497 miles",Manual,Petrol,5 seats,2 owner(s),5 doors,1
Hyundai Kona,"£18,325",2020,"21,847 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Vauxhall Corsa,"£14,765",2022,"12,270 miles",Automatic,Electric,5 seats,1 owner(s),5 doors,N/A
Honda Civic,"£44,899",2023,"6,874 miles",Manual,Petrol,4 seats,1 owner(s),5 doors,2
